iso3,year,gdp_pc,gdp_growth,trade_openness,resource_rents,urbanization,military_spending
MAR,1976,1263.17102050781,10.8127813442855,54.6444423458306,3.25833778664007,38.2781143188477,6.22043404047793
MAR,1977,1306.12939453125,6.0591676788529,54.2171580153132,7.1103456913499,38.9574813842773,6.61977491961415
MAR,1978,1301.05102539063,2.23266338861872,46.4392428473003,1.80010450186733,39.6536712646484,5.83680870353581
MAR,1979,1328.20642089844,4.79378720493398,46.8747481585352,2.0860866012875,40.3694076538086,5.63346228239845
MAR,1980,1340.24670410156,3.64216481334074,47.3420678268738,1.93240909400097,41.0976600646973,5.94007288432987
MAR,1981,1281.85180664063,-1.7434349305055,57.4360558027929,2.78538380285006,41.8380699157715,6.38459397221449
MAR,1982,1359.98828125,8.95737202254297,55.3402703571435,2.62239050403749,42.6268942163054,6.22086827346416
MAR,1983,1343.30456542969,1.38656957735846,52.6140950218936,2.49010263353889,43.2883796691895,4.50565855036211
MAR,1984,1394.10388183594,6.41838632129115,60.3626795175262,2.01272467515158,43.987621307373,4.01819087964117
MAR,1985,1442.95849609375,6.00765207144033,59.3150746324922,2.28857541318934,44.7014083862305,5.39043522658704
MAR,1986,1542.61840820313,9.27110576948627,50.2806035838223,1.24324093293933,45.4191665649414,4.30445955767833
MAR,1987,1507.19995117188,-0.325004075650469,49.6575055142262,0.652943231947499,46.1545181274414,4.36931479451528
MAR,1988,1654.0068359375,11.8752359788597,50.1376031659319,2.6104002503804,46.9474945068359,4.12851581775317
MAR,1989,1669.73254394531,2.84620258132841,50.3508447455349,0.549540975895859,47.7057342529297,4.39291741336162
MAR,1990,1695.63647460938,3.41181222630115,54.6266874206198,0.446556338050589,48.4338645935059,4.14882504070243
MAR,1991,1786.76281738281,7.21608815359085,49.7792954766494,0.470463537432966,49.1526794433594,4.14284293740367
MAR,1992,1720.42248535156,-2.097738754022,50.2633161845725,0.402917131825263,49.8101539611816,4.29804827877283
MAR,1993,1680.71044921875,-0.740591700332374,49.668456614101,0.311874824076787,50.4392204284668,4.65557168740476
MAR,1994,1830.88061523438,10.5880004161286,47.3135537325048,0.398309101504966,51.2177079462615,4.49381938880623
MAR,1995,1705.4482421875,-5.40544787197402,51.7150253841236,0.468832543723716,51.7589098974736,4.34741049396921
MAR,1996,1886.67224121094,12.3728762700496,47.0955434479783,0.380019625009187,52.2102813479572,3.94909292657436
MAR,1997,1828.96862792969,-1.56070234550782,51.1501546486104,0.396019219633816,52.6042202331149,4.19265940634305
MAR,1998,1931.74047851563,7.23855267691987,45.6723595943991,0.418094042033356,52.9553071144083,3.4563343607373
MAR,1999,1935.47875976563,1.6970614772566,48.578876486646,0.27890729826742,53.2781225532994,2.42076323622306
MAR,2000,1957.14135742188,2.58218091499747,53.4403058388785,0.305325348108431,53.58724711125,2.68517230679106
MAR,2001,2078.96606445313,7.72182519577728,53.4915710187871,0.208998473305515,53.8972613497219,3.72613588276971
MAR,2002,2127.50708007813,3.73019737485745,54.31012791421,0.194633365567,54.222745830177,3.49178799247956
MAR,2003,2229.576171875,6.17110214953244,52.3318582669923,0.242738945207909,54.5782811140771,3.49420754151271
MAR,2004,2301.08178710938,4.57138016516208,55.5516384744536,0.57019059079328,54.9787569660869,3.24946757487646
MAR,2005,2342.15478515625,3.19224973015831,61.4938276863235,0.739189609529312,55.4397798676399,3.25799678207968
MAR,2006,2489.99291992188,7.7908200104027,64.6721977787154,1.17487783805592,55.9627589629824,3.10979654916899
MAR,2007,2540.615234375,3.44106776690418,71.3496467796657,1.4811164112028,56.5303841299064,3.04695366406602
MAR,2008,2648.58569335938,5.68453936284732,77.8344716425602,6.0135640292616,57.1254169272616,3.18350142755722
MAR,2009,2710.66650390625,3.74576940136258,62.3709560152269,4.04625319267701,57.7306189138977,3.28865184646812
MAR,2010,2767.04223632813,3.49955709403216,69.541979610144,5.52351711568337,58.3287516486646,3.39079610106242
MAR,2011,2879.53930664063,5.52464523319847,76.8258714906247,7.44006663292583,58.902576690412,3.29749523520352
MAR,2012,2927.45043945313,3.06234368502997,78.2221018956072,6.48582252084039,59.4348555979895,3.46275007931538
MAR,2013,3008.185546875,4.12221286860944,73.8577565315318,4.55138703939471,59.9083499302469,3.80578290120645
MAR,2014,3051.458984375,2.7192440802029,71.8935667539398,3.52679771804417,60.3030486171654,3.39845864113579
MAR,2015,3146.24780273438,4.34458297635238,67.2886759253849,2.61402225287558,60.6417124737154,2.95999792230728
MAR,2016,3124.42504882813,0.52118550608968,71.1226603816864,2.89821223160529,60.9657656537179,2.98211832955753
MAR,2017,3242.64428710938,5.05789816173446,74.1733578786573,3.29989896331367,61.2761057031842,2.94588992031474
MAR,2018,3304.7119140625,3.06564133025955,77.2548875243989,2.41389789515822,61.5695822753314,2.90288871579444
MAR,2019,3364.73950195313,2.89097476137077,75.9981158798422,0.321780512925498,61.8430450233765,2.86579837978571
MAR,2020,3090.89428710938,-7.17820744246774,68.8438033904364,0.296128236742874,62.0933436005366,3.97969764255599
MAR,2021,3309.130859375,8.15473889823681,75.5234171756506,0.391702933228196,62.3173276600289,3.74975618124605
MAR,2022,3334.91162109375,1.81269242194809,100.906310201651,,62.5118468550703,3.81341286888659
MAR,2023,3421.21704101563,3.65564411017931,93.1178844179777,,62.673750838878,3.59263420161027
MAR,2024,3516.15405273438,3.79336515978963,92.1872446062404,,62.7998124018197,3.51575374206256
MCO,1970,72837.7236189989,,,0.0,100.0,
MCO,1971,75563.5268306393,5.22806002306334,,0.0,100.0,
